"Status","Name","Duration in ms","Description"
"passed","Performing a Yahoo Search Performing a search operation with passing test data as data table.I enter ""Selenium Webdriver"" into the search box","176",""
"passed","Performing a Yahoo Search Performing a search operation with passing test data as data table.I click the search button","879",""
"passed","Performing a Yahoo Search Performing a search operation.I click the search button","1243",""
"passed","Performing a Yahoo Search Performing a search operation.I should see a list of search results","219",""
"passed","Performing a Yahoo Search Performing a search operation with passing test data as data table.I am on the search page","1946",""
"passed","Performing a login Performing login operation with passing test data as data table.I am on the phptravels page","3478",""
"passed","Performing a login Performing login operation with passing test data as data table.I should see the message ""Hi, Johny Smith"" on my account page","47",""
"passed","Performing a Yahoo Search Performing a search operation.I am on the search page","2035",""
"passed","Performing a Yahoo Search Performing a search operation with passing test data as data table.I should see a list of search results","147",""
"passed","Performing a Yahoo Search Performing a search operation.I enter ""Selenium Webdriver"" into the search box","401",""
"passed","Performing a login Performing login operation with passing test data as data table.I login with username and password ""user@phptravels.com"" ""demouser"" into the text box","2824",""
